String ID,en-us,ko-kr,vi-vn,zh-cn,es-us,de-de,es-es,fi-fi,fr-fr,he-il,it-it,ja-jp,pt-pt,sv-se,th-th
c19.link/scheduling.phone.mangilao,"734-2163",,,,,,,,,,,,,,
c19.link/scheduling.phone.agat,"565-2524",,,,,,,,,,,,,,
c19.link/scheduling.phone.description.agat,"Agat Mayor's Office",,,,,,,,,,,,,,
c19.link/scheduling.phone.description.mangilao,"Mangilao Mayor's Office",,,,,,,,,,,,,,
